Data;Abertura;Maxima;Minima;Fechamento
02/01/2003;14154.32;14685.41;14154.32;14648.36
03/01/2003;14759.52;14932.43;14648.36;14673.06
06/01/2003;14747.17;15154.75;14734.82;15130.05
07/01/2003;15006.54;15142.4;14907.73;15006.54
08/01/2003;14994.19;15117.7;14636.01;14685.41
09/01/2003;14636.01;15080.65;14636.01;15018.89
10/01/2003;15068.3;15401.78;15055.95;15377.07
13/01/2003;15438.83;15537.64;15142.4;15228.86
14/01/2003;15253.56;15340.02;15154.75;15327.67
15/01/2003;15191.81;15216.51;14870.68;14969.49
16/01/2003;15043.6;15315.32;14907.73;14920.08
17/01/2003;14808.92;14839.8;14561.9;14648.36
20/01/2003;14759.52;14759.52;14426.04;14561.9
21/01/2003;14685.41;14753.34;14216.07;14228.42
22/01/2003;14191.37;14290.18;13845.54;13882.59
23/01/2003;13981.4;14129.62;13722.03;13894.95
24/01/2003;13956.7;13969.06;13351.5;13413.25
27/01/2003;13129.18;13376.2;12993.32;13104.48
28/01/2003;13252.69;13314.45;13030.37;13042.72
29/01/2003;12900.68;13536.77;12771;13524.41
30/01/2003;13579.99;13697.33;13252.69;13302.1
31/01/2003;13400.91;13684.98;13302.1;13549.12
03/02/2003;13697.33;13808.49;13437.96;13499.71
04/02/2003;13376.2;13400.91;13042.72;13067.42
05/02/2003;13030.37;13314.45;13005.67;13092.13
06/02/2003;13030.37;13116.83;12783.35;13116.83
07/02/2003;13141.53;13227.99;12783.35;12783.35
10/02/2003;12733.94;13042.72;12696.89;12968.62
11/02/2003;13085.95;13184.76;12931.56;12968.62
12/02/2003;12766.72;13063.63;12766.72;12938.93
13/02/2003;12885.48;12938.93;12386.69;12398.57
14/02/2003;12505.45;12588.58;12196.67;12374.82
17/02/2003;12529.2;12576.71;12434.19;12541.08
18/02/2003;12576.71;12861.73;12552.96;12802.35
19/02/2003;12719.22;12814.23;12469.82;12505.45
20/02/2003;12552.96;12600.46;12351.06;12505.45
21/02/2003;12517.33;12683.59;12374.82;12659.84
24/02/2003;12683.59;12790.48;12541.08;12564.83
25/02/2003;12452.01;12505.45;12256.06;12469.82
26/02/2003;12469.82;12600.46;12149.17;12172.92
27/02/2003;12137.29;12410.44;12125.42;12410.44
28/02/2003;12410.44;12600.46;12351.06;12588.58
05/03/2003;12410.44;12636.09;12351.06;12636.09
06/03/2003;12695.47;13004.24;12659.84;12980.49
07/03/2003;12885.48;13182.38;12731.1;13099.25
10/03/2003;12968.62;12968.62;12481.7;12493.58
11/03/2003;12564.83;12647.96;12374.82;12517.33
12/03/2003;12434.19;12897.36;12327.31;12897.36
13/03/2003;12927.05;13158.63;12921.11;13134.88
14/03/2003;13241.76;13348.65;13004.24;13134.88
17/03/2003;12885.48;13277.39;12849.86;13134.88
18/03/2003;13271.45;13538.67;13182.38;13455.53
19/03/2003;13479.29;13514.91;13194.26;13289.27
20/03/2003;13301.14;13491.16;13075.5;13479.29
21/03/2003;13538.67;13799.94;13538.67;13776.19
24/03/2003;13538.67;13568.36;13241.76;13301.14
25/03/2003;13396.15;13538.67;13289.27;13491.16
26/03/2003;13550.54;13609.92;13419.91;13467.41
27/03/2003;13384.28;13550.54;13218.01;13520.85
28/03/2003;13425.84;13740.56;13408.03;13681.18
31/03/2003;13479.29;13598.05;13408.03;13467.41
01/04/2003;13538.67;13942.45;13538.67;13942.45
02/04/2003;14096.84;14381.86;14096.84;14215.6
03/04/2003;14334.36;14512.5;14227.47;14369.99
04/04/2003;14476.87;14518.44;14227.47;14417.49
07/04/2003;14726.27;14845.03;14417.49;14465
08/04/2003;14465;14571.88;13966.2;14013.71
09/04/2003;13989.96;14215.6;13883.07;13942.45
10/04/2003;13942.45;14061.21;13740.56;13811.81
11/04/2003;13835.56;14037.46;13776.19;14013.71
14/04/2003;14108.71;14191.85;13924.64;14185.91
15/04/2003;14203.72;14453.12;14073.09;14429.37
16/04/2003;14417.94;14566.46;14212.3;14349.39
17/04/2003;14360.82;14783.53;14326.55;14726.41
22/04/2003;14623.59;14829.23;14475.07;14794.96
23/04/2003;14794.96;14794.96;14543.61;14714.98
24/04/2003;14737.83;14749.26;14280.85;14315.12
25/04/2003;14303.69;14406.52;14183.74;14292.27
28/04/2003;14320.83;14737.83;14132.33;14726.41
29/04/2003;14709.27;15126.27;14703.56;14977.75
30/04/2003;15012.02;15137.7;14794.96;14817.81
02/05/2003;14760.68;15160.55;14760.68;15114.85
05/05/2003;15103.42;15171.97;14943.48;15046.3
06/05/2003;15023.45;15114.85;14794.96;14886.35
07/05/2003;14932.05;15263.37;14852.08;15217.67
08/05/2003;15200.53;15309.07;15057.72;15183.4
09/05/2003;15297.64;15571.84;15274.79;15514.71
12/05/2003;15480.44;15674.66;15343.34;15640.38
13/05/2003;15640.38;15903.15;15640.38;15720.36
14/05/2003;15697.51;15777.48;15606.11;15754.63
15/05/2003;15743.21;15743.21;15251.94;15263.37
16/05/2003;15229.1;15480.44;15012.02;15434.74
19/05/2003;15366.19;15366.19;14806.38;14863.5
21/05/2003;14886.5;15346.31;14714.07;15277.34
22/05/2003;15288.83;15438.27;15173.88;15334.81
23/05/2003;15357.8;15530.23;15219.86;15392.29
26/05/2003;15461.26;15472.76;14978.46;14989.95
27/05/2003;14989.95;15564.72;14852.01;15484.26
28/05/2003;15484.26;15679.67;15449.77;15553.23
29/05/2003;15547.48;15771.64;15472.76;15633.69
30/05/2003;15622.2;15794.63;15530.23;15656.68
02/06/2003;15702.67;15737.15;15357.8;15369.3
03/06/2003;15380.8;15564.72;15231.36;15553.23
04/06/2003;15576.22;16001.55;15576.22;15932.57
05/06/2003;15926.82;16150.98;15817.62;16024.54
06/06/2003;16036.03;16380.89;16024.54;16162.48
09/06/2003;16093.51;16173.98;15990.05;16070.52
10/06/2003;16093.51;16323.42;15978.55;16093.51
11/06/2003;16093.51;16116.5;15863.6;16013.04
12/06/2003;16024.54;16208.46;15840.61;16150.98
13/06/2003;16150.98;16277.44;15760.14;15898.09
16/06/2003;15921.08;16127.99;15875.1;15978.55
17/06/2003;15955.56;16127.99;15783.14;15852.11
18/06/2003;15929.81;15952.01;15419.17;15580.13
20/06/2003;15519.08;15519.08;14997.34;15019.54
23/06/2003;15052.84;15241.56;14819.72;14886.33
24/06/2003;14952.93;15174.95;14930.73;15019.54
25/06/2003;15019.54;15197.15;14819.72;14853.02
26/06/2003;14836.37;15197.15;14742.01;14964.03
27/06/2003;14936.28;15075.04;14764.22;14841.92
30/06/2003;14864.13;14875.23;14697.61;14819.72
01/07/2003;14808.62;15141.65;14653.21;15141.65
02/07/2003;15119.45;15219.35;15041.74;15141.65
03/07/2003;15141.65;15141.65;14908.53;14919.63
04/07/2003;14930.73;15052.84;14764.22;15052.84
07/07/2003;15041.74;15208.25;15041.74;15163.85
08/07/2003;15152.75;15435.82;15075.04;15419.17
10/07/2003;15319.26;15319.26;15097.24;15186.05
11/07/2003;15197.15;15230.46;14908.53;14964.03
14/07/2003;15041.74;15419.17;15041.74;15385.87
15/07/2003;15396.97;15519.08;15297.06;15419.17
16/07/2003;15430.27;15485.78;15174.95;15252.66
17/07/2003;15252.66;15396.97;15119.45;15385.87
18/07/2003;15352.56;15563.48;15352.56;15541.28
21/07/2003;15519.08;15607.89;15352.56;15352.56
22/07/2003;15341.46;15596.78;15330.36;15574.58
23/07/2003;15585.68;15696.69;15363.67;15396.97
25/07/2003;15396.97;15508.3;15263.37;15419.23
28/07/2003;15396.97;15419.23;15196.58;15218.84
29/07/2003;15229.97;15307.9;15163.18;15218.84
30/07/2003;15196.58;15285.64;14985.05;15029.58
31/07/2003;15018.44;15185.44;15012.88;15096.38
01/08/2003;15085.24;15085.24;14651.06;14673.32
04/08/2003;14628.79;14751.25;14239.13;14450.66
05/08/2003;14450.66;14628.79;14439.53;14595.39
06/08/2003;14584.26;14651.06;14283.67;14395
07/08/2003;14317.07;14907.12;14317.07;14907.12
08/08/2003;14907.12;15074.11;14884.85;15018.44
11/08/2003;15051.85;15163.18;14907.12;15152.04
12/08/2003;15163.18;15285.64;15096.38;15118.64
13/08/2003;15134.88;15367.55;15075.35;15194.4
14/08/2003;15216.04;15454.13;15032.06;15443.31
15/08/2003;15389.2;15562.35;15259.33;15508.24
18/08/2003;15540.71;15832.91;15540.71;15832.91
19/08/2003;15843.73;15919.49;15724.69;15832.91
20/08/2003;15822.09;16200.87;15659.75;16179.22
21/08/2003;16125.11;16341.55;15995.24;16287.44
22/08/2003;16276.62;16460.6;16190.04;16222.51
25/08/2003;16162.99;16395.67;16006.06;16125.11
26/08/2003;16092.64;16644.58;16016.89;16558
27/08/2003;16558;16828.55;16525.53;16796.09
28/08/2003;16817.73;16969.24;16558;16698.69
29/08/2003;16709.51;16806.91;16493.06;16763.62
01/09/2003;16752.8;17045;16698.69;17034.18
02/09/2003;17012.53;17142.4;16925.96;17109.93
03/09/2003;17088.29;17315.55;17055.82;17196.51
04/09/2003;17207.33;17477.89;17099.11;17283.09
05/09/2003;17304.73;17586.11;17142.4;17532
08/09/2003;17569.88;17813.38;17488.71;17640.22
09/09/2003;17613.17;17661.87;17272.26;17337.2
10/09/2003;17348.02;17607.75;17153.22;17596.93
11/09/2003;17607.75;18051.46;17575.29;17856.67
12/09/2003;17802.55;18148.87;17607.75;18062.29
15/09/2003;18062.29;18148.87;17889.13;17997.36
16/09/2003;18008.18;18105.58;17802.55;17813.38
17/09/2003;17807.96;18083.93;17715.98;18083.93
18/09/2003;18094.75;18527.64;17943.24;18495.18
19/09/2003;18495.18;18689.98;18397.78;18484.35
22/09/2003;18365.31;18365.31;17964.89;18062.29
23/09/2003;18073.11;18116.4;17770.09;17975.71
24/09/2003;17964.89;18094.75;17553.64;17640.22
25/09/2003;17618.58;17726.8;17239.8;17304.73
26/09/2003;17261.44;17586.11;17174.87;17196.51
29/09/2003;17283.09;17596.93;17185.69;17596.93
30/09/2003;17618.58;17748.44;17412.95;17445.42
01/10/2003;17477.89;18051.46;17369.67;17997.36
02/10/2003;18013.59;18549.29;17986.53;18365.31
